,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
benzene,cyclohexane,1,117,benzene,cyclohexane,101300,0.3,0,182.7545,0,-43.3406,71.59407454,-6486.2,-9.2194,6.98E-06,2,39.57407454,-5226.4,-4.2278,9.76E-18,6
toluene,cyclohexane,0,118,toluene,cyclohexane,101300,0.3,-0.3062,171.9452,-0.1776,102.22,65.43207454,-6729.8,-8.179,5.30E-06,2,39.57407454,-5226.4,-4.2278,9.76E-18,6
acetone,cyclohexane,1,119,acetone,cyclohexane,101300,0.47,-0.1061,359.6793,-3.5142,1485.3369,46.43407454,-5355.3,-5.2106,1.24E-14,5,39.57407454,-5226.4,-4.2278,9.76E-18,6
ethyl-formate,cyclohexane,1,120,ethyl-formate,cyclohexane,101300,0.3,0,227.1599,0,285.7337,62.32007454,-5817,-7.809,6.32E-06,2,39.57407454,-5226.4,-4.2278,9.76E-18,6
methyl-acetate,cyclohexane,1,121,methyl-acetate,cyclohexane,101300,0.3,0,224.886,0,253.4381,49.75407454,-5618.6,-5.6473,2.11E-17,6,39.57407454,-5226.4,-4.2278,9.76E-18,6
ethyl-acetate,cyclohexane,1,122,ethyl-acetate,cyclohexane,101300,0.3,-1.657,648.4576,-0.3574,386.2369,55.31107454,-6227.6,-6.41,1.79E-17,6,39.57407454,-5226.4,-4.2278,9.76E-18,6
benzene,dimethyl-carbonate,1,123,benzene,dimethyl-carbonate,101300,0.3,0,91.5135,0,52.8667,71.59407454,-6486.2,-9.2194,6.98E-06,2,46.52007454,-5991.3,-5.0971,1.34E-17,6
cyclohexane,dimethyl-carbonate,1,124,cyclohexane,dimethyl-carbonate,101300,0.3,0,363.6004,0,364.0588,39.57407454,-5226.4,-4.2278,9.76E-18,6,46.52007454,-5991.3,-5.0971,1.34E-17,6
methanol,phenol,0,125,methanol,phenol,101300,0.3,0,-159.7583,0,-68.3016,71.20507454,-6904.5,-8.8622,7.47E-06,2,83.93107454,-10113,-10.09,6.76E-18,6
ethanol,phenol,0,126,ethanol,phenol,101300,0.3,0.136,-604.4089,0.6637,173.8362,61.79107454,-7122.3,-7.1424,2.89E-06,2,83.93107454,-10113,-10.09,6.76E-18,6
isopropanol,phenol,0,127,isopropanol,phenol,101300,0.3,0,-111.7885,0,-130.6728,99.20707454,-9040,-12.676,5.54E-06,2,83.93107454,-10113,-10.09,6.76E-18,6
benzene,phenol,0,128,benzene,phenol,101300,0.3,0,389.2036,0,-15.0535,71.59407454,-6486.2,-9.2194,6.98E-06,2,83.93107454,-10113,-10.09,6.76E-18,6
